field,value,evidence,validity_condition,failure_condition,recommended_map_note
scale_map_formula,(a) q = 0.1 + 0.9*(Q_A/100)  [M1_linear_normalization]; (b) q = 0.100000 + 0.03455596*(Q_A - 42.889320)  [M3_robust_quantile_p05_p95]; (c) q = Qemp_B6(F_emp_Q1(Q_A))  [M4_rank_quantile_isotonic],q2-q-scale-bridge-20260926-r01:tables/mapping_candidates.csv,只作为**单调尺度桥**；Q_A 仅当作可比的质量序数-区间指标，不当作 B6 Q_score 本身,一旦声称 Q_A 等价于 B6 Q_score，或声称建立了 A-B 逐行连接，本契约立即失效,
q1_scale_range,20.573683 .. 88.698874 (n=261086),q2-q-scale-bridge-20260926-r01:tables/q1_scale_distribution.csv; q1-critic-topsis-20260925-r01 sha256=12b3a9b34a48407f...,问题一 unique-union 记录级质量分；问题一 run 状态仍为待验收,问题一换归一化或换 run_id -> 本契约全部失效，须重算,
b6_scale_range,"0.100000 .. 1.000000 (n=360, 8 个离散档)","q2-q-scale-bridge-20260926-r01:tables/b6_scale_distribution.csv, tables/b6_scale_levels.csv; B6 sha256=c7450ce0d67d8692...",B6 半合成原生 Q_score；KS 对均匀分布 p=3.292e-09,"把 B6/B7 当独立观测，或在 [0.1,1.0] 之外使用 q 而不标注外推",
recommended_map,M4_rank_quantile_isotonic (保序分位) ；线性读法用 M1_linear_normalization；契约同时给出两者,q2-q-scale-bridge-20260926-r01:tables/mapping_effect.csv,"条件推荐：若下游只问""质量提升到问题一观测上界能买多少 Loss""，用保序分位映射，它是分布对齐而非数值对齐；若问题三需要绝对可读的 0-100→[0.1,1.0]，用线性归一",若问题三把两者混用会不一致：同一 Q_A 提升在保序映射下的 delta_q 是线性映射的 3.8396 倍，delta_L 随之同比改变。不得只报其中一个而不声明是哪一个,"没有任何单一映射可被认证为""正确""换算，因此本字段是条件推荐"
epsilon_q_range,"中位单元(N=1.0B,D=150B)上，全部 5 个映射 × 全部问题一锚点：[-0.154235, -0.013543]; 其中 Q1 基线锚点(p05)处 [-0.069453, -0.013543]，上界锚点(p95)处 [-0.154235, -0.106518]","q2-q-scale-bridge-20260926-r01:tables/epsilon_q_rows.csv; 定义 (dL/dq)*(q/L) = -G*q/L, G=0.3622474350","逐点量，只在所报 q 与 L 处成立；q 须落在 B6 拟合区间 [0.1,1.0]","q 超出 [0.1,1.0]（M1 外推）或任何形式的 M1 重拟合；ε_q 符号必须保持为负，若为正先检查定义",
epsilon_q_range_all_anchors_all_cells,"-0.183401 .. -0.009962 (仅统计 q 落在 B6 拟合区间 [0.1,1.0] 内的点)","q2-q-scale-bridge-20260926-r01:tables/epsilon_q_rows.csv（保序与线性两种映射 × 全部问题一锚点 × 全部 46 个 (N,D) 单元）","同样逐点；范围更宽只是因为覆盖了问题一的全部分位锚点与 B6 的全部 (N,D) 单元","不得把这个更宽的区间当成""质量效应区间""混用；头条反事实区间见 epsilon_q_range",
epsilon_q_positive_trap,"当映射把 q 推出 [0.1,1.0] 时，(1-q) 项被异常外推，ε_q 会算成**正数**：共 184 个 (映射,锚点,单元) 组合越界，其中 92 个给出 ε_q > 0","q2-q-scale-bridge-20260926-r01:tables/epsilon_q_out_of_range_trap.csv, epsilon_q_out_of_range_summary.csv",仅出现在未钳制的 M1_linear_normalization / M2_minmax_observed / M3_robust_quantile_p05_p95 上,这正是 PDF-10 陷阱的现场证据：ε_q > 0 说明定义域被破坏，**先怀疑定义与定义域，不要怀疑数据**。下游凡见到 ε_q > 0，一律判为越界，该点结论作废,
m1_quality_parameter,"G=0.362247435005 (真实顺序 [E,A,B,G,alpha,beta])；派发声明顺序给出的 G=0.282802913480 是误标","q2-q-scale-bridge-20260926-r01:tables/linearity_within_cell_slopes.csv, discrepancy_report.md; 权威来源 scripts/q2_m0_m1_explore.py 第 46 行",冻结数组数值未改；只是标签顺序按生产脚本复原,若上游修正 metrics.json 的字段命名，需同步更新本 run 的 G 引用；在修正前两者相差 21.9%,
delta_loss::M1_linear_normalization,"-0.084912 (中位单元); 网格范围 [-0.084912, -0.084912]",q2-q-scale-bridge-20260926-r01:tables/mapping_delta_loss.csv,问题一 p05->p95，M1_linear_normalization，冻结 M1，未重拟合,这不是因果效应：不存在 A-B 逐行连接，只是尺度条件反事实,
delta_loss::M5_linear_normalization_clamped,"-0.084912 (中位单元); 网格范围 [-0.084912, -0.084912]",q2-q-scale-bridge-20260926-r01:tables/mapping_delta_loss.csv,问题一 p05->p95，M5_linear_normalization_clamped，冻结 M1，未重拟合,这不是因果效应：不存在 A-B 逐行连接，只是尺度条件反事实,
delta_loss::M2_minmax_observed,"-0.124641 (中位单元); 网格范围 [-0.124641, -0.124641]",q2-q-scale-bridge-20260926-r01:tables/mapping_delta_loss.csv,问题一 p05->p95，M2_minmax_observed，冻结 M1，未重拟合,这不是因果效应：不存在 A-B 逐行连接，只是尺度条件反事实,
delta_loss::M3_robust_quantile_p05_p95,"-0.326023 (中位单元); 网格范围 [-0.326023, -0.326023]",q2-q-scale-bridge-20260926-r01:tables/mapping_delta_loss.csv,问题一 p05->p95，M3_robust_quantile_p05_p95，冻结 M1，未重拟合,这不是因果效应：不存在 A-B 逐行连接，只是尺度条件反事实,
delta_loss::M4_rank_quantile_isotonic,"-0.326023 (中位单元); 网格范围 [-0.326023, -0.326023]",q2-q-scale-bridge-20260926-r01:tables/mapping_delta_loss.csv,问题一 p05->p95，M4_rank_quantile_isotonic，冻结 M1，未重拟合,这不是因果效应：不存在 A-B 逐行连接，只是尺度条件反事实,
