mixture_domain,mapping_type_A16,official_quality_domain_A16,candidate_quality_domains,candidate_weights,q_soft_0_1,q_semantic_range_low_0_1,q_semantic_range_high_0_1,q_semantic_range_width,mapping_confidence,rationale,note
arxiv,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
github,direct,github,github,"{""github"":1.0}",0.4996444477712489,0.4996444477712489,0.4996444477712489,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
stackexchange,direct,stackexchange,stackexchange,"{""stackexchange"":1.0}",0.385,0.385,0.385,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
wikipedia_en,near_direct,wikipedia,wikipedia,"{""wikipedia"":1.0}",0.50765,0.50765,0.50765,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
gutenberg_pg_19,near_direct,book,book,"{""book"":1.0}",0.0029239766081871,0.0029239766081871,0.0029239766081871,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
pile_cc,near_direct,commoncrawl,commoncrawl,"{""commoncrawl"":1.0}",0.1798236514522821,0.1798236514522821,0.1798236514522821,0.0,official,A16 official one-to-one mapping,"range is the min/max of candidate domain scores, not a confidence interval"
dm_mathematics,inferred,(none),arxiv;wikipedia,"{""arxiv"":0.8,""wikipedia"":0.2}",0.10522549150036953,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,数学/科学文本，arxiv 为主，wikipedia 作通用参考补充,"range is the min/max of candidate domain scores, not a confidence interval"
freelaw,inferred,(none),book;wikipedia;commoncrawl,"{""book"":0.5,""wikipedia"":0.3,""commoncrawl"":0.2}",0.18972171859455,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,法律文本缺少同名质量域，采用书籍、百科和网页文本的混合代理,"range is the min/max of candidate domain scores, not a confidence interval"
nih_exporter,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.6,""wikipedia"":0.2,""commoncrawl"":0.2}",0.14026634891573359,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,生物医学/科学文本，arxiv 为主并保留通用文本成分,"range is the min/max of candidate domain scores, not a confidence interval"
pubmed_central,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",0.12274592020805156,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,生物医学全文，arxiv 为主，加入百科和网页文本敏感性,"range is the min/max of candidate domain scores, not a confidence interval"
philpapers,inferred,(none),arxiv;book;wikipedia,"{""arxiv"":0.6,""book"":0.2,""wikipedia"":0.2}",0.10488641394691457,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,学术论文和哲学论述，使用 arxiv、book、wikipedia 混合,"range is the min/max of candidate domain scores, not a confidence interval"
enron_emails,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.3,""wikipedia"":0.2}",0.30694182572614104,0.1798236514522821,0.50765,0.32782634854771797,inferred_low,邮件/通用文本，commoncrawl 为主，stackexchange 表示对话文本,"range is the min/max of candidate domain scores, not a confidence interval"
ubuntu_irc,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",0.29467682572614107,0.1798236514522821,0.50765,0.32782634854771797,inferred_low,IRC 对话文本，commoncrawl 与 stackexchange 为主,"range is the min/max of candidate domain scores, not a confidence interval"
europarl,inferred,(none),wikipedia;commoncrawl;book,"{""wikipedia"":0.5,""commoncrawl"":0.3,""book"":0.2}",0.30835689075732203,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,正式议会文本，wikipedia 为主并加入网页和书籍文本,"range is the min/max of candidate domain scores, not a confidence interval"
hackernews,inferred,(none),commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",0.29467682572614107,0.1798236514522821,0.50765,0.32782634854771797,inferred_low,技术社区讨论，commoncrawl 与 stackexchange 为主,"range is the min/max of candidate domain scores, not a confidence interval"
pubmed_abstracts,inferred,(none),arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",0.12274592020805156,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,科学摘要，arxiv 为主并保留通用文本敏感性,"range is the min/max of candidate domain scores, not a confidence interval"
uspto_backgrounds,inferred,(none),book;arxiv;wikipedia;commoncrawl,"{""book"":0.4,""arxiv"":0.3,""wikipedia"":0.2,""commoncrawl"":0.1}",0.12206776510114162,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,专利背景文本，book 与 arxiv 为主，其他文本作敏感性补充,"range is the min/max of candidate domain scores, not a confidence interval"
