run_id,task_id,prompt_run_id,owner,device,status,method,data_manifest,git_commit,seed,metrics,conclusion,reviewer,pr
q2-m0-m1-20260925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,PEER_REVIEW,M0 classical N-D baseline and M1 B6 quality sensitivity,experiments/runs/q2-m0-m1-20260925-r01/data_manifest.yaml,a4db97afe73c429af6cc3000939093d4c730cddf,,experiments/runs/q2-m0-m1-20260925-r01/metrics.json,M0/M1 exploratory run; B8 excluded; A-B joint migration remains blocked,ACTOR-2,
q2-bridge-interface-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,P1/P3 A16 mapping and Q1 candidate domain-score interface audit,scripts/q2_bridge_interface_audit.py,,20260925,experiments/runs/q2-bridge-interface-20250925-r01/metrics.json,Conditional bridge only; 6/17 domains available; 11 inferred domains unmapped; no official Q,ACTOR-2,
q2-m2-sensitivity-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,M2 conditional unmapped-domain Q scenario envelope,scripts/q2_m2_bridge_sensitivity.py,,20260925,experiments/runs/q2-m2-sensitivity-20250925-r01/metrics.json,Scenario-only Q1 candidate-scale envelope; no B Q-score conversion or fit,ACTOR-2,
q2-b8-provenance-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,B6/B7/B8 provenance and Q-direction gate audit,scripts/q2_b8_provenance_audit.py,,20260925,experiments/runs/q2-b8-provenance-20250925-r01/metrics.json,B8 remains blocked; B7/B8 manifest lacks source/generator metadata; no repair applied,ACTOR-2,
q2-b8-provenance-20260925-r02,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,BLOCKED_B8_PROVENANCE_AND_DIRECTION,scripts/q2_b8_provenance_audit.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-b8-provenance-20260925-r02/metrics.json,B8 has 1311 increasing-loss vs 2 decreasing-loss Q steps; B7/B8 source notes are missing; B8 remains excluded and unmodified,ACTOR-2,-
q2-migration-gate-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,aggregate formal A-B migration release gate,scripts/q2_migration_gate_audit.py,,20260925,experiments/runs/q2-migration-gate-20250925-r01/metrics.json,Formal joint migration remains blocked; conditional exploratory evidence packages are complete,ACTOR-2,
q2-m3-preflight-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,fail-closed formal A-B joint-model input preflight,scripts/q2_m3_joint_model_preflight.py,,20260925,experiments/runs/q2-m3-preflight-20250925-r01/metrics.json,Preflight blocked; no formal fit started,ACTOR-2,
q2-b3-trajectory-audit-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,B3 interpolated Pythia trajectory external diagnostic,scripts/q2_b3_trajectory_audit.py,,20260925,experiments/runs/q2-b3-trajectory-audit-20250925-r01/metrics.json,Frozen M0 parameters diagnose B3; same-family interpolation; not independent source validation,ACTOR-2,
q2-b4-b5-stratified-audit-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,B4/B5 family and source stratified external diagnostic,scripts/q2_b4_b5_stratified_audit.py,,20260925,experiments/runs/q2-b4-b5-stratified-audit-20250925-r01/metrics.json,Frozen B1 M0 parameters; no pooled external refit; small groups flagged,ACTOR-2,
q2-b9-b10-extrapolation-audit-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,B9/B10 large-model extrapolation scope and provenance audit,scripts/q2_b9_b10_extrapolation_audit.py,,20260925,experiments/runs/q2-b9-b10-extrapolation-audit-20250925-r01/metrics.json,Extrapolation-only range audit; source metadata incomplete; no true validation or fit,ACTOR-2,
