feedback_id,type,severity,status,task_id,problem_id,subproblem_id,work_package,prompt_id,prompt_run_id,related_run_ids,submitted_by_actor,response_owner_actor,response_status,owner_actor,peer_reviewer_actor,release_integrator_actor,public_summary,private_ref,transcript_sha256,created_at,updated_at,decision_ref,next_action
FB-20260924-MIXTURE-001,evidence_gap,P1,captured,T-Q1-003-MIXTURE,Q1,Q1-S03,WP-B,,,q1-mixture-audit-20260924-r01;q1-mixture-collinearity-20260924-r01;q1-scale-identifiability-20260924-r01;q1-track-a-same-scale-20260924-r01;q1-track-b-scale-difference-20260924-r01;q1-track-c-multiscale-exploratory-20260924-r01;q1-track-c-ablation-20260924-r01;q1-track-c-reduced-interactions-20260924-r01,ACTOR-2,ACTOR-2,PENDING_REVIEW,ACTOR-2,ACTOR-3,ACTOR-1,Hidden precomputed mixture-model guidance conflicts with observed scale-conditioned Loss; formal model review required.,,,2026-09-24T17:00:00+08:00,2026-09-24T18:30:00+08:00,docs/decisions/q1-stage-progress-20260924.md,Peer review the stage results and data-role boundaries; redesign independent multi-scale holdout before any formal cross-scale claim.
FB-20260924-B-PREPROCESS-PROVENANCE,evidence_gap,P1,captured,T-Q1-002,,,WP-A,P-EXP-002,PR-20260924-WPB-SUBMIT-001,q1-critic-topsis-20260924-r01,,,,ACTOR-1,ACTOR-2,ACTOR-3,"Historical preprocessing metadata hash mismatch; candidate repair isolated, official WP-A outputs preserved",,,2026-09-24,2026-09-24,docs/tasks/WP-B-delivery.yml,Owner and independent reviewers inspect evidence before adoption
FB-20260924-WPB-GATE-001,evidence_gap,P1,captured,T-Q1-004,,,WP-B,P-EXP-002,PR-20260924-WPB-SUBMIT-001,q1-critic-topsis-20260924-r01,,,,ACTOR-2,ACTOR-3,ACTOR-1,Existing local model results lack G1 acceptance and independent team review; no formal publication claim,,,2026-09-24,2026-09-24,docs/tasks/WP-B-delivery.yml,Owner and independent reviewers inspect evidence before adoption
FB-20260924-WPC-G2-001,evidence_gap,P1,captured,T-Q1-005,,,WP-C,P-CONFLICT-001,PR-20260924-WPC-LOCAL-001,q1-conflict-trial-20260924-r01,,,,ACTOR-3,ACTOR-1,ACTOR-2,Accepted upstream run and G2 review evidence missing,,,2026-09-24,2026-09-24,governance/feedback/FB-20260924-WPC-G2-001.json,Provide real review evidence before formal validation
FB-20260924-WPC-MODEL-002,model_proposal,P1,captured,T-Q1-005,,,WP-C,P-CONFLICT-001,PR-20260924-WPC-LOCAL-001,q1-conflict-trial-20260924-r01,,,,ACTOR-3,ACTOR-1,ACTOR-2,Candidate aggregation changes indicator set and rankings; not an adopted replacement,,,2026-09-24,2026-09-24,governance/feedback/FB-20260924-WPC-MODEL-002.json,WP-B reviews proposal and validity assumptions
FB-Q2-E1-01,evidence_gap,P2,captured,T-Q2-E1-MARGINAL,Q2,Q2-E1,WP-B,P-Q2-E1-MARGINAL,PR-Q2-E1-20260925,q2-e1-marginal-elasticity-20260925-r01,,ACTOR-2,CAPTURED,ACTOR-2,ACTOR-3,ACTOR-1,质量轴选择使 136 个无序领域对中 12 个方向改变,,,2026-09-25T13:53:36+00:00,2026-09-25T13:53:36+00:00,docs/research/q2/E1-governance-audit.md,复核局部支持、质量坐标依赖和候选结论表述；独立审核后决定保留限制或重构
FB-Q2-E1-02,evidence_gap,P2,captured,T-Q2-E1-MARGINAL,Q2,Q2-E1,WP-B,P-Q2-E1-MARGINAL,PR-Q2-E1-20260925,q2-e1-marginal-elasticity-20260925-r01,,ACTOR-2,CAPTURED,ACTOR-2,ACTOR-3,ACTOR-1,可加结构使 N/D 原始边际收益不随质量/配比变化,,,2026-09-25T13:53:36+00:00,2026-09-25T13:53:36+00:00,docs/research/q2/E1-governance-audit.md,复核结构性限制；E1 不宣称联合效应，后续交互模型需新数据支持
FB-Q2-E1-GOV-20260925,evidence_gap,P1,captured,T-Q2-E1-MARGINAL,Q2,Q2-E1,WP-B,P-Q2-E1-GOV,PR-Q2-E1-GOV-20260925,q2-e1-marginal-elasticity-20260925-r01,,ACTOR-2,BLOCKED,ACTOR-2,ACTOR-3,ACTOR-1,执行前登记及调用追踪不完整；分支不合规；工作包扩展、G1 和独立评审缺证,,,2026-09-25T13:53:36+00:00,2026-09-25T13:53:36+00:00,docs/research/q2/E1-governance-audit.md,Integrator 决定 Q2 工作包路由和分支处理；实际成员确认角色并独立复核，不追溯伪造执行前登记
FB-Q3-RH-01,quality_failure,P1,captured,T-Q3-RESEARCH-HANDOFF,Q3,Q3-RESEARCH,WP-B,P-Q3-RESEARCH-HANDOFF,PR-Q3-RESEARCH-HANDOFF-20260925,q3-frozen-q2-exploration-20260925-r01,ACTOR-2,ACTOR-2,CAPTURED,ACTOR-2,ACTOR-3,ACTOR-1,完整单纯形 v1 选择纯 Enron，60/60 情景负 Loss；回溯 top-1 推荐表现不足,,,2026-09-25,2026-09-25,docs/research/q3/handoff.md,建立可信配方域及分组决策验证，复核 regret 和负值失败，不靠截断掩盖缺陷
FB-Q3-RH-02,evidence_gap,P1,captured,T-Q3-RESEARCH-HANDOFF,Q3,Q3-RESEARCH,WP-B,P-Q3-RESEARCH-HANDOFF,PR-Q3-RESEARCH-HANDOFF-20260925,q3-frozen-q2-exploration-20260925-r01,ACTOR-2,ACTOR-2,CAPTURED,ACTOR-2,ACTOR-3,ACTOR-1,固定 p 独立提质未经观测识别；Q_A/Q_B 成本坐标影响转折，质量效应含半合成来源,,,2026-09-25,2026-09-25,docs/research/q3/handoff.md,明确质量成本尺度与干预假设，取得连接证据或保持条件探索边界
