dataset,role,scale,loss_observed,index,mixture_domain,proportion_raw,proportion_normalized,mapping_type_A16,official_quality_domain_A16,candidate_quality_domains,candidate_weights,q_soft_0_1,q_semantic_range_low_0_1,q_semantic_range_high_0_1,q_semantic_range_width,mapping_confidence,rationale,weighted_soft_quality_contribution,weighted_soft_low_contribution,weighted_soft_high_contribution
A4_A5_train_1m,train,1m,True,1,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,2,arxiv,0.025,0.0250501002004008,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00011571554046748245,0.00011571554046748245,0.00011571554046748245
A4_A5_train_1m,train,1m,True,3,arxiv,0.679,0.679,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0031365484109386306,0.0031365484109386306,0.0031365484109386306
A4_A5_train_1m,train,1m,True,4,arxiv,0.008,0.0079920079920079,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,3.691799700668809e-05,3.691799700668809e-05,3.691799700668809e-05
A4_A5_train_1m,train,1m,True,5,arxiv,0.193,0.1928071928071928,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0008906466777863604,0.0008906466777863604,0.0008906466777863604
A4_A5_train_1m,train,1m,True,6,arxiv,0.506,0.5065065065065065,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0023397381120958175,0.0023397381120958175,0.0023397381120958175
A4_A5_train_1m,train,1m,True,7,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,8,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,9,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,10,arxiv,0.006,0.006,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,2.7716186252771402e-05,2.7716186252771402e-05,2.7716186252771402e-05
A4_A5_train_1m,train,1m,True,11,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,12,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,13,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,14,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,15,arxiv,0.003,0.003006012024048,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,1.3885864856097452e-05,1.3885864856097452e-05,1.3885864856097452e-05
A4_A5_train_1m,train,1m,True,16,arxiv,0.094,0.094,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0004342202512934186,0.0004342202512934186,0.0004342202512934186
A4_A5_train_1m,train,1m,True,17,arxiv,0.533,0.5335335335335335,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002464585797919112,0.002464585797919112,0.002464585797919112
A4_A5_train_1m,train,1m,True,18,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,19,arxiv,0.156,0.1561561561561561,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.000721342184756813,0.000721342184756813,0.000721342184756813
A4_A5_train_1m,train,1m,True,20,arxiv,0.001,0.001,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6193643754619e-06,4.6193643754619e-06,4.6193643754619e-06
A4_A5_train_1m,train,1m,True,21,arxiv,0.739,0.7382617382617381,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.003410299973492851,0.003410299973492851,0.003410299973492851
A4_A5_train_1m,train,1m,True,22,arxiv,0.004,0.004,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,1.84774575018476e-05,1.84774575018476e-05,1.84774575018476e-05
