mixture_domain,mapping_type_A16,candidate_quality_domains,candidate_weights,q_soft_0_1,q_semantic_range_low_0_1,q_semantic_range_high_0_1,q_semantic_range_width,mapping_confidence,q_topsis_domain_0_1,q_topsis_source
arxiv,direct,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,0.638623595952268,q1-critic-topsis-20260924-r01/domain_scores.csv
github,direct,github,"{""github"":1.0}",0.4996444477712489,0.4996444477712489,0.4996444477712489,0.0,official,0.5170140753241471,q1-critic-topsis-20260924-r01/domain_scores.csv
stackexchange,direct,stackexchange,"{""stackexchange"":1.0}",0.385,0.385,0.385,0.0,official,0.6138787333596657,q1-critic-topsis-20260924-r01/domain_scores.csv
wikipedia_en,near_direct,wikipedia,"{""wikipedia"":1.0}",0.50765,0.50765,0.50765,0.0,official,0.6110090692042491,q1-critic-topsis-20260924-r01/domain_scores.csv
gutenberg_pg_19,near_direct,book,"{""book"":1.0}",0.0029239766081871,0.0029239766081871,0.0029239766081871,0.0,official,0.5603252048079161,q1-critic-topsis-20260924-r01/domain_scores.csv
pile_cc,near_direct,commoncrawl,"{""commoncrawl"":1.0}",0.1798236514522821,0.1798236514522821,0.1798236514522821,0.0,official,0.6433570995356357,q1-critic-topsis-20260924-r01/domain_scores.csv
dm_mathematics,inferred,arxiv;wikipedia,"{""arxiv"":0.8,""wikipedia"":0.2}",0.1052254915003695,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,0.6331006906026643,q1-critic-topsis-20260924-r01/domain_scores.csv
freelaw,inferred,book;wikipedia;commoncrawl,"{""book"":0.5,""wikipedia"":0.3,""commoncrawl"":0.2}",0.18972171859455,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,0.59213674307236,q1-critic-topsis-20260924-r01/domain_scores.csv
nih_exporter,inferred,arxiv;wikipedia;commoncrawl,"{""arxiv"":0.6,""wikipedia"":0.2,""commoncrawl"":0.2}",0.1402663489157335,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,0.6340473913193377,q1-critic-topsis-20260924-r01/domain_scores.csv
pubmed_central,inferred,arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",0.1227459202080515,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,0.6335740409610009,q1-critic-topsis-20260924-r01/domain_scores.csv
philpapers,inferred,arxiv;book;wikipedia,"{""arxiv"":0.6,""book"":0.2,""wikipedia"":0.2}",0.1048864139469145,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,0.6174410123737939,q1-critic-topsis-20260924-r01/domain_scores.csv
enron_emails,inferred,commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.3,""wikipedia"":0.2}",0.306941825726141,0.1798236514522821,0.50765,0.3278263485477179,inferred_low,0.6280439836165674,q1-critic-topsis-20260924-r01/domain_scores.csv
ubuntu_irc,inferred,commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",0.294676825726141,0.1798236514522821,0.50765,0.3278263485477179,inferred_low,0.628330950032109,q1-critic-topsis-20260924-r01/domain_scores.csv
europarl,inferred,wikipedia;commoncrawl;book,"{""wikipedia"":0.5,""commoncrawl"":0.3,""book"":0.2}",0.308356890757322,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,0.6105767054243985,q1-critic-topsis-20260924-r01/domain_scores.csv
hackernews,inferred,commoncrawl;stackexchange;wikipedia,"{""commoncrawl"":0.5,""stackexchange"":0.4,""wikipedia"":0.1}",0.294676825726141,0.1798236514522821,0.50765,0.3278263485477179,inferred_low,0.628330950032109,q1-critic-topsis-20260924-r01/domain_scores.csv
pubmed_abstracts,inferred,arxiv;wikipedia;commoncrawl,"{""arxiv"":0.7,""wikipedia"":0.2,""commoncrawl"":0.1}",0.1227459202080515,0.0046193643754619,0.50765,0.5030306356245381,inferred_low,0.6335740409610009,q1-critic-topsis-20260924-r01/domain_scores.csv
uspto_backgrounds,inferred,book;arxiv;wikipedia;commoncrawl,"{""book"":0.4,""arxiv"":0.3,""wikipedia"":0.2,""commoncrawl"":0.1}",0.1220677651011416,0.0029239766081871,0.50765,0.5047260233918129,inferred_low,0.6022546845032603,q1-critic-topsis-20260924-r01/domain_scores.csv
