model_id,features_or_formula,protocol,run_id,source_metrics,source_code,source_report,metric_aggregation,note,snapshot_commit,inventory_status,task_id,A4_mae,A4_rmse,A4_mean_target_r2,A6_mae,A6_rmse,A6_mean_target_r2,A8_mae,A8_rmse,A8_mean_target_r2,A10_mae,A10_rmse,A10_mean_target_r2,A12_mae,A12_rmse,A12_mean_target_r2,A14_mae,A14_rmse,A14_mean_target_r2,transfer_mae,transfer_rmse,transfer_mean_absolute_actual_shift,transfer_mean_absolute_transferred_shift_error,transfer_mean_actual_shift,transfer_mean_transferred_shift
mean_baseline,L_j=training mean(L_j),A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.6426953335824062,0.8229507019685428,0.0,0.6193481061510773,0.7797898706966692,-0.012469010902146822,1.5236709562660298,1.6792989127387599,-8.581195630473983,3.1190864943142063,3.173273165573881,-797.4400386769811,3.5471978018122026,3.5764990543452297,-232.98895314562196,3.930110866525268,3.957772498140231,-377.9105947528706,,,,,,
ilr_ols,L_j=a_j+b_j^T ilr(p),A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.2760246740085356,0.3819754038003951,0.7537450137719801,0.26329622083008536,0.34724837310629825,0.7635326768127529,1.5191181317813234,1.614522906884001,-7.971464595182519,2.9517864247799057,3.021576679167451,-605.2591074420894,3.557942166046287,3.61142508544343,-235.23799886431198,3.940539235643357,3.9988406820573754,-382.9403388177204,,,,,,
ilr_ridge,L_j=a_j+b_j^T ilr(p); Ridge alpha=10,A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.27598526293623576,0.3822371939016146,0.7534682337190024,0.2626453548842908,0.34644297705135874,0.7648632501349787,1.518786891829006,1.6125830561174752,-7.955139952018306,2.955363351632918,3.0237821656137562,-608.4885698380405,3.5575718884812515,3.609550175318696,-235.0801385607503,3.9401689580783215,3.996970312628592,-382.6760848403916,,,,,,
pls,"PLS(ilr(p), L); 8 components",A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.3291698753536409,0.44165242441345093,0.638896111345828,0.3133425934065778,0.4096181948236184,0.6464284633846002,1.5155828812429009,1.6180431824833996,-8.023273065303986,3.1116189270603813,3.1885723809627624,-707.8169140557195,3.572575131042589,3.6213165457489103,-236.3451454278647,3.9551722006396592,4.008347433580975,-384.583644830761,,,,,,
quadratic_ridge,Ridge over 16 ilr coordinates and degree-2 terms; 152 features; alpha=10,A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.15965618109196555,0.2298343547620112,0.9185218739760276,0.20191012143221612,0.2840065107729149,0.8661472704478559,1.5060437806723042,1.5993338679597553,-7.752112320019945,2.620288245207394,2.6963496728536787,-483.6776209503138,3.555073020606523,3.623077879446641,-236.10558620590686,3.9379860853195874,4.010733969656319,-384.6466962736488,,,,,,
shallow_gbdt,Shallow gradient boosted trees on ilr(p),A4/A5 fit; repeated five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-model-benchmark-20260924-r01,experiments/runs/q1-model-benchmark-20260924-r01/metrics.json,scripts/q1_model_benchmark.py,docs/decisions/q1-model-benchmark-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Experimental; not a cross-scale champion,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.22194383688099498,0.30648702241916465,0.8423156385324653,0.23072747917108452,0.30659557011345734,0.8191900103478164,1.492775157704328,1.5769256868390586,-7.5746445350011395,2.9219035332106356,2.9855385423564433,-626.2265072168842,3.560281014569307,3.611511517027055,-235.3064721133719,3.9431940792823714,3.99886405873388,-382.90827125089976,,,,,,
p_only,Ridge(ilr(p)),A4/A5 fit and five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-mixture-quality-baseline-20260925-r01,experiments/runs/q1-mixture-quality-baseline-20260925-r01/metrics.json,scripts/q1_mixture_quality_baseline.py,docs/decisions/q1-mixture-quality-baseline-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Hard/partial A16 mapping; 6 supported domains; 11 unmapped,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.27598526293623576,0.3822371939016146,0.7534682337190024,0.2626453548842908,0.34644297705135874,0.7648632501349787,1.518786891829006,1.6125830561174752,-7.955139952018306,2.955363351632918,3.0237821656137562,-608.4885698380405,3.5575718884812515,3.609550175318696,-235.0801385607503,3.9401689580783215,3.996970312628592,-382.6760848403916,,,,,,
p_q_raw_coverage,"Ridge(ilr(p), Q_raw_0_100, mapped_mass)",A4/A5 fit and five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-mixture-quality-baseline-20260925-r01,experiments/runs/q1-mixture-quality-baseline-20260925-r01/metrics.json,scripts/q1_mixture_quality_baseline.py,docs/decisions/q1-mixture-quality-baseline-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Hard/partial A16 mapping; 6 supported domains; 11 unmapped,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.2661347282547274,0.3720935858182263,0.7742258780762602,0.25363432605415537,0.3376106462955559,0.7819076739760609,1.5176218166396471,1.6119459131414482,-7.937686120255238,2.946620154177509,3.0178163881317306,-603.8310871865631,3.5523005271927377,3.606185483243075,-234.56109146532572,3.934897596789807,3.9936389805779595,-382.03420776533534,,,,,,
p_q_renorm_coverage,"Ridge(ilr(p), Q_renorm_0_100, mapped_mass, availability)",A4/A5 fit and five-fold CV; A6/A7 same-scale validation; A8-A15 diagnostics,q1-mixture-quality-baseline-20260925-r01,experiments/runs/q1-mixture-quality-baseline-20260925-r01/metrics.json,scripts/q1_mixture_quality_baseline.py,docs/decisions/q1-mixture-quality-baseline-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,Hard/partial A16 mapping; 6 supported domains; 11 unmapped,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.2645459922369894,0.36701219345415564,0.7763578678065528,0.25225401017026283,0.3359934282351641,0.7811294306471742,1.5132297245519863,1.6049012711203534,-7.8875673582049135,2.9641866552006326,3.0339418848089927,-613.455575410145,3.5495844186780765,3.601558149569096,-234.13978104656252,3.932181488275146,3.989013084134863,-381.27176737962714,,,,,,
track_c_full_interactions,"Ridge(ilr(p), log10(S), ilr(p)*log10(S)); alpha=0.1",A4/A5+A6/A7+A8/A9 adaptation; leave-one-scale-out; A10 held out; A12-A15 diagnostics,q1-track-c-multiscale-exploratory-20260924-r01,experiments/runs/q1-track-c-multiscale-exploratory-20260924-r01/metrics.json,scripts/q1_track_c_multiscale_exploratory.py,docs/decisions/q1-track-c-multiscale-results.md,MAE=mean(abs(error)) and RMSE=sqrt(mean(error^2)) over all rows x 13 targets; R2=mean target-wise R2,ROLE_CHANGE_EXPLORATORY; supplied S label,57fc793e9692b49a60c33c6d99ec10c17ffd5d76,SUPPLEMENTAL_DRAFT,T-Q1-003-MIXTURE,0.27578090373489533,0.38475119934000207,0.7504898034358365,0.2502669929751937,0.33118915703428076,0.7831277688198559,0.1935717809355214,0.25605950844048714,0.773040894975424,0.5558581420049706,0.6352339835019624,-18.673627309798594,0.7966977515958966,1.0127058699270113,-18.490343087521644,0.9504220236429652,1.2148574727829486,-33.21703179598091,,,,,,
