mixture_domain,quality_domain,mapping_type,note,proxy_quality_domain,proxy_mapping_type,proxy_confidence_note,quality_q_score_0_1,source_for_score
arxiv,arxiv,direct,配方域名与质量信号域名一致,arxiv,direct,official,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
github,github,direct,配方域名与质量信号域名一致,github,direct,official,0.49964444777124895,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
stackexchange,stackexchange,direct,配方域名与质量信号域名一致,stackexchange,direct,official,0.385,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
wikipedia_en,wikipedia,near_direct,名称略有差异，语义对应,wikipedia,near_direct,official,0.50765,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
gutenberg_pg_19,book,near_direct,书籍类文本，可参考 book 域质量信号,book,near_direct,official,0.0029239766081871343,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
pile_cc,commoncrawl,near_direct,网页抓取类文本，可参考 commoncrawl 域质量信号,commoncrawl,near_direct,official,0.17982365145228216,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
dm_mathematics,(none),inferred,无同名质量域，需自行建立关联,arxiv,inferred,scientific/math proxy,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
freelaw,(none),inferred,无同名质量域，需自行建立关联,book,inferred,formal/legal prose proxy,0.0029239766081871343,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
nih_exporter,(none),inferred,无同名质量域，需自行建立关联,arxiv,inferred,biomedical/scientific proxy,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
pubmed_central,(none),inferred,无同名质量域，需自行建立关联,arxiv,inferred,biomedical/scientific proxy,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
philpapers,(none),inferred,无同名质量域，需自行建立关联,arxiv,inferred,scholarly prose proxy,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
enron_emails,(none),inferred,无同名质量域，需自行建立关联,commoncrawl,inferred,web/text proxy,0.17982365145228216,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
ubuntu_irc,(none),inferred,无同名质量域，需自行建立关联,commoncrawl,inferred,web/text proxy,0.17982365145228216,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
europarl,(none),inferred,无同名质量域，需自行建立关联,wikipedia,inferred,formal encyclopedic proxy,0.50765,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
hackernews,(none),inferred,无同名质量域，需自行建立关联,commoncrawl,inferred,web/text proxy,0.17982365145228216,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
pubmed_abstracts,(none),inferred,无同名质量域，需自行建立关联,arxiv,inferred,biomedical/scientific proxy,0.004619364375461937,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
uspto_backgrounds,(none),inferred,无同名质量域，需自行建立关联,book,inferred,formal/legal prose proxy,0.0029239766081871343,A1-A3: domain-level cluster-Q; list signals reduced by mean; rank-percentile + KMeans(3)
