mixture_domain,quality_domain,mapping_type,candidate_q1_mean,coverage_status,note
arxiv,arxiv,direct,63.8623595952,candidate_available,配方域名与质量信号域名一致
github,github,direct,51.7014075324,candidate_available,配方域名与质量信号域名一致
stackexchange,stackexchange,direct,61.387873336,candidate_available,配方域名与质量信号域名一致
wikipedia_en,wikipedia,near_direct,61.1009069204,candidate_available,名称略有差异，语义对应
gutenberg_pg_19,book,near_direct,56.0325204808,candidate_available,书籍类文本，可参考 book 域质量信号
pile_cc,commoncrawl,near_direct,64.3357099536,candidate_available,网页抓取类文本，可参考 commoncrawl 域质量信号
dm_mathematics,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
freelaw,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
nih_exporter,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
pubmed_central,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
philpapers,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
enron_emails,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
ubuntu_irc,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
europarl,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
hackernews,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
pubmed_abstracts,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
uspto_backgrounds,(none),inferred,,missing_candidate,无同名质量域，需自行建立关联
